"fecha","unidad","descrubicacion","ubicacion","departamento","violencia","tamano","electoral","observaciones","numpolicias","nummilitares","toma","grupo","desalojo","lon","lat","location"
2017-11-28,"UDEP-02 Colon","Hacienda Zamora de Tocoa Colon","Tocoa","Colon","Pacifica","80","No","Se llevó acabo un desalojo de forma Pacífica en la Hacienda Zamora de Tocoa Colon, donde se diálogo con aproximadamente 80 campesinos para que salieran de ese predio ya que eran administrados por la Oficina de Bienes Incautados OABI.Este terreno fue tomado el día de lunes 27-11-2017, aproximadamente a las 15:00 horas por lo que el día de hoy se procedió legalmente al desalojo por medio de una denuncia interpuesta en la Dirección Policial de Investigación por el representante de la OABI, Señor Carlos Gilberto Garcia. ",NA,0,"No","Campesinos de la zona","Ninguno",-85.9968479,15.6576354,"15.6576354,-85.9968479"
2017-11-29,"UMEP-04 Kennedy","Boulevard Fuerzas Armadas a la altura del INFOP","Tegucigalpa","Francisco Morazan","Pacifica","500","Si","Seguidores de la Alianza opositora se manifestaron desde sede del Partido Liberal y Refundación Libre hasta el INFOP quienes están en contra de la reelección del Presidente Hernández y defenderán los votos brindados a dicho partido político de Alianza",21,0,"Si","Simpatizantes de la Alianza de Oposicion","Ninguno",-87.192136,14.0722751,"14.0722751,-87.192136"
2017-11-29,"UMEP-04 Kennedy","Frente a las instalaciones de la UNAH","Tegucigalpa","Francisco Morazan","Pacifica","300","Si","Simpatizantes del partido Alianza y Oposición en apoyo al candidato presidencial Salvador Nasralla para que se respete la decisión del pueblo que gane el Ingenieron Salvador Nasralla",NA,0,"No","Simpatizantes de la Alianza de Oposicion","Ninguno",-87.192136,14.0722751,"14.0722751,-87.192136"
2017-11-29,"UMEP-10 Choloma","Boulevard del Norte a la altura carretera CA-5, puente el Kilometro de Choloma","Choloma","Cortes","Pacifica","100","Si","Simpatizantes del partido Alianza y Oposición en apoyo al candidato presidencial Salvador Nasralla para que se respete la decisión del pueblo que gane el Ingenieron Salvador Nasralla",7,0,"Si","Simpatizantes de la Alianza de Oposicion","Ninguno",-87.9432837,15.596502,"15.596502,-87.9432837"
2017-11-29,"UDEP-01 Atlantida","CA 13 a la altura puente Río Lean en Tela","Tela","Atlantida","Pacifica","300","Si","Simpatizantes del partido Alianza piden se respete la decisión del pueblo que gane el Ingeniero Salvador Nasralla",4,0,"Si","Simpatizantes de la Alianza de Oposicion","Ninguno",-87.4653502,15.7732601,"15.7732601,-87.4653502"
2017-11-29,"UDEP-05 Cortes","Colonia Omonita","San Manuel","Cortes","Pacifica","200","Si","Simpatizantes del partido Alianza manifiestan que si el TSE declara perdedor al Ingeniero Salvador Nasralla cerrarán la salida de combustible del puerto hacia otras ciudades del país",61,0,"No","Simpatizantes de la Alianza de Oposicion","Ninguno",-117.2293408,34.1504241,"34.1504241,-117.2293408"
2017-11-29,"UDEP-10 Intibuca","Barrio El Way a la altura hospital Enrique Aguilar Cerrato","La Esperanza","Intibuca","Pacifica","300","Si","Marcha pacífica de las antorchas a la altura hospital Enrique Aguilar Cerrato dirigiendose al centro de salud consignas fuera JOH contra la reelección y no reconocimiento de la voluntad del pueblo",NA,0,"No","Simpatizantes de la Alianza de Oposicion","Ninguno",-88.1706047,14.299475,"14.299475,-88.1706047"
2017-11-29,"UDEP-15 Olancho","Colonia El Hatillo a la altura del puente","Catacamas","Olancho","Pacifica","200","Si","Simpatizantes de la Alianza protestando por el reconocimiento voluntad del pueblo y el silencio del TSE y la nueva tendencia que se muestra en la página del TSE",NA,0,"Si","Simpatizantes de la Alianza de Oposicion","Ninguno",-85.8793252,14.8437223,"14.8437223,-85.8793252"
2017-11-29,"UMEP-05 Guamilito","Monumento a la madre","San Pedro Sula","Cortes","Pacifica","1,500","Si","Simpatizantes de la Alianza exigiendo al TSE que reconozca el triunfo del presidenciable Salvador Nasralla",17,0,"No","Simpatizantes de la Alianza de Oposicion","Ninguno",-87.9922684,15.5149204,"15.5149204,-87.9922684"
2017-11-29,"UMEP-05 Guamilito","Boulevard del Norte","San Pedro Sula","Cortes","Pacifica","300","Si","Simpatizantes del partido polítco Alianza protestan diciendo no al fraude",6,0,"No","Simpatizantes de la Alianza de Oposicion","Ninguno",-87.9922684,15.5149204,"15.5149204,-87.9922684"
